No,Date,Type_of_Victim,Number_of_Victims
1,2017,Fatalities,26
2,2017,Fatalities,3
3,2017,Fatalities,3
4,2017,Fatalities,59
5,2017,Fatalities,3
6,2017,Fatalities,3
7,2017,Fatalities,5
8,2017,Fatalities,3
9,2017,Fatalities,3
10,2017,Fatalities,5
11,2016,Fatalities,5
12,2016,Fatalities,3
13,2016,Fatalities,5
14,2016,Fatalities,49
15,2016,Fatalities,0
16,2016,Fatalities,1
17,2016,Fatalities,0
18,2016,Fatalities,0
19,2016,Fatalities,1
20,2016,Fatalities,4
21,2016,Fatalities,1
22,2016,Fatalities,0
23,2016,Fatalities,0
24,2016,Fatalities,0
25,2016,Fatalities,0
26,2016,Fatalities,3
27,2016,Fatalities,2
28,2016,Fatalities,3
29,2016,Fatalities,2
30,2016,Fatalities,2
31,2016,Fatalities,4
32,2016,Fatalities,4
33,2016,Fatalities,1
34,2016,Fatalities,2
35,2016,Fatalities,0
36,2016,Fatalities,0
37,2016,Fatalities,2
38,2016,Fatalities,0
39,2016,Fatalities,2
40,2016,Fatalities,6
41,2016,Fatalities,5
42,2016,Fatalities,5
43,2016,Fatalities,0
44,2016,Fatalities,4
45,2016,Fatalities,1
46,2016,Fatalities,0
47,2016,Fatalities,0
48,2016,Fatalities,0
49,2016,Fatalities,1
50,2016,Fatalities,2
51,2016,Fatalities,5
52,2016,Fatalities,3
53,2016,Fatalities,4
54,2016,Fatalities,5
55,2016,Fatalities,5
56,2016,Fatalities,1
57,2016,Fatalities,0
58,2016,Fatalities,6
59,2016,Fatalities,2
60,2016,Fatalities,1
61,2016,Fatalities,6
62,2016,Fatalities,2
63,2016,Fatalities,0
64,2016,Fatalities,2
65,2016,Fatalities,1
66,2016,Fatalities,2
67,2016,Fatalities,1
68,2016,Fatalities,4
69,2016,Fatalities,0
70,2016,Fatalities,3
71,2016,Fatalities,2
72,2016,Fatalities,6
73,2016,Fatalities,1
74,2016,Fatalities,3
75,2016,Fatalities,2
76,2016,Fatalities,1
77,2016,Fatalities,1
78,2016,Fatalities,1
79,2016,Fatalities,3
80,2015,Fatalities,2
81,2015,Fatalities,14
82,2015,Fatalities,16
83,2015,Fatalities,3
84,2015,Fatalities,4
85,2015,Fatalities,0
86,2015,Fatalities,6
87,2015,Fatalities,4
88,2015,Fatalities,1
89,2015,Fatalities,4
90,2015,Fatalities,4
91,2015,Fatalities,2
92,2015,Fatalities,1
93,2015,Fatalities,10
94,2015,Fatalities,3
95,2015,Fatalities,0
96,2015,Fatalities,6
97,2015,Fatalities,5
98,2015,Fatalities,3
99,2015,Fatalities,3
100,2015,Fatalities,3
101,2015,Fatalities,8
102,2015,Fatalities,3
103,2015,Fatalities,4
104,2015,Fatalities,5
105,2015,Fatalities,2
106,2015,Fatalities,0
107,2015,Fatalities,9
108,2015,Fatalities,0
109,2015,Fatalities,3
110,2015,Fatalities,5
111,2015,Fatalities,3
112,2015,Fatalities,3
113,2015,Fatalities,1
114,2015,Fatalities,5
115,2015,Fatalities,1
116,2015,Fatalities,4
117,2015,Fatalities,2
118,2015,Fatalities,1
119,2015,Fatalities,2
120,2015,Fatalities,5
121,2015,Fatalities,1
122,2015,Fatalities,0
123,2015,Fatalities,0
124,2015,Fatalities,4
125,2015,Fatalities,0
126,2015,Fatalities,2
127,2015,Fatalities,1
128,2015,Fatalities,3
129,2015,Fatalities,2
130,2015,Fatalities,4
131,2015,Fatalities,1
132,2015,Fatalities,8
133,2015,Fatalities,3
134,2015,Fatalities,3
135,2015,Fatalities,4
136,2015,Fatalities,3
137,2015,Fatalities,3
138,2015,Fatalities,0
139,2015,Fatalities,5
140,2015,Fatalities,4
141,2015,Fatalities,0
142,2015,Fatalities,5
143,2015,Fatalities,4
144,2015,Fatalities,3
145,2015,Fatalities,3
146,2015,Fatalities,0
147,2014,Fatalities,7
148,2014,Fatalities,5
149,2014,Fatalities,1
150,2014,Fatalities,5
151,2014,Fatalities,2
152,2014,Fatalities,1
153,2014,Fatalities,5
154,2014,Fatalities,1
155,2014,Fatalities,6
156,2014,Fatalities,1
157,2014,Fatalities,3
158,2014,Fatalities,4
159,2014,Fatalities,0
160,2014,Fatalities,4
161,2013,Fatalities,3
162,2013,Fatalities,1
163,2013,Fatalities,2
164,2013,Fatalities,13
165,2013,Fatalities,4
166,2013,Fatalities,4
167,2013,Fatalities,3
168,2013,Fatalities,7
169,2013,Fatalities,6
170,2013,Fatalities,7
171,2013,Fatalities,5
172,2013,Fatalities,5
173,2013,Fatalities,4
174,2013,Fatalities,4
175,2013,Fatalities,3
176,2013,Fatalities,5
177,2012,Fatalities,28
178,2012,Fatalities,3
179,2012,Fatalities,4
180,2012,Fatalities,0
181,2012,Fatalities,7
182,2012,Fatalities,7
183,2012,Fatalities,12
184,2012,Fatalities,3
185,2012,Fatalities,6
186,2012,Fatalities,6
187,2012,Fatalities,3
188,2012,Fatalities,7
189,2012,Fatalities,3
190,2012,Fatalities,5
191,2012,Fatalities,5
192,2011,Fatalities,8
193,2011,Fatalities,5
194,2011,Fatalities,8
195,2011,Fatalities,1
196,2011,Fatalities,1
197,2011,Fatalities,6
198,2010,Fatalities,9
199,2010,Fatalities,0
200,2009,Fatalities,4
201,2009,Fatalities,5
202,2009,Fatalities,13
203,2009,Fatalities,14
204,2009,Fatalities,8
205,2009,Fatalities,6
206,2009,Fatalities,8
207,2009,Fatalities,11
208,2008,Fatalities,10
209,2008,Fatalities,2
210,2008,Fatalities,0
211,2008,Fatalities,7
212,2008,Fatalities,5
213,2008,Fatalities,6
214,2007,Fatalities,6
215,2007,Fatalities,0
216,2007,Fatalities,5
217,2007,Fatalities,9
218,2007,Fatalities,0
219,2007,Fatalities,1
220,2007,Fatalities,6
221,2007,Fatalities,32
222,2007,Fatalities,0
223,2007,Fatalities,6
224,2006,Fatalities,6
225,2006,Fatalities,6
226,2006,Fatalities,0
227,2006,Fatalities,1
228,2006,Fatalities,2
229,2006,Fatalities,7
230,2006,Fatalities,8
231,2005,Fatalities,10
232,2005,Fatalities,8
233,2005,Fatalities,3
234,2004,Fatalities,5
235,2004,Fatalities,6
236,2003,Fatalities,7
237,2003,Fatalities,7
238,2003,Fatalities,1
239,2002,Fatalities,4
240,2002,Fatalities,3
241,2001,Fatalities,2
242,2001,Fatalities,6
243,2000,Fatalities,7
244,1999,Fatalities,5
245,1999,Fatalities,0
246,1999,Fatalities,7
247,1999,Fatalities,8
248,1999,Fatalities,10
249,1999,Fatalities,0
250,1999,Fatalities,15
251,1998,Fatalities,0
252,1998,Fatalities,4
253,1998,Fatalities,1
254,1998,Fatalities,5
255,1998,Fatalities,5
256,1997,Fatalities,2
257,1997,Fatalities,5
258,1997,Fatalities,3
259,1997,Fatalities,2
260,1997,Fatalities,4
261,1997,Fatalities,2
262,1996,Fatalities,3
263,1996,Fatalities,6
264,1996,Fatalities,3
265,1995,Fatalities,2
266,1995,Fatalities,6
267,1995,Fatalities,4
268,1995,Fatalities,2
269,1994,Fatalities,2
270,1994,Fatalities,1
271,1994,Fatalities,5
272,1994,Fatalities,4
273,1993,Fatalities,1
274,1993,Fatalities,4
275,1993,Fatalities,6
276,1993,Fatalities,1
277,1993,Fatalities,4
278,1993,Fatalities,1
279,1993,Fatalities,9
280,1993,Fatalities,2
281,1993,Fatalities,1
282,1992,Fatalities,2
283,1992,Fatalities,5
284,1992,Fatalities,0
285,1992,Fatalities,4
286,1991,Fatalities,5
287,1991,Fatalities,6
288,1991,Fatalities,24
289,1991,Fatalities,3
290,1991,Fatalities,9
291,1990,Fatalities,12
292,1989,Fatalities,9
293,1989,Fatalities,4
294,1989,Fatalities,6
295,1988,Fatalities,0
296,1988,Fatalities,2
297,1988,Fatalities,5
298,1988,Fatalities,2
299,1988,Fatalities,7
300,1988,Fatalities,1
301,1987,Fatalities,6
302,1986,Fatalities,1
303,1986,Fatalities,15
304,1986,Fatalities,1
305,1985,Fatalities,2
306,1985,Fatalities,1
307,1984,Fatalities,22
308,1984,Fatalities,6
309,1984,Fatalities,3
310,1983,Fatalities,1
311,1983,Fatalities,13
312,1982,Fatalities,9
313,1982,Fatalities,1
314,1979,Fatalities,2
315,1979,Fatalities,2
316,1976,Fatalities,7
317,1976,Fatalities,1
318,1974,Fatalities,3
319,1974,Fatalities,1
320,1972,Fatalities,10
321,1971,Fatalities,2
322,1966,Fatalities,5
323,1966,Fatalities,17
324,2017,Injured,20
325,2017,Injured,0
326,2017,Injured,3
327,2017,Injured,527
328,2017,Injured,2
329,2017,Injured,0
330,2017,Injured,0
331,2017,Injured,0
332,2017,Injured,0
333,2017,Injured,6
334,2016,Injured,0
335,2016,Injured,3
336,2016,Injured,11
337,2016,Injured,53
338,2016,Injured,4
339,2016,Injured,4
340,2016,Injured,6
341,2016,Injured,4
342,2016,Injured,4
343,2016,Injured,0
344,2016,Injured,4
345,2016,Injured,3
346,2016,Injured,4
347,2016,Injured,4
348,2016,Injured,5
349,2016,Injured,1
350,2016,Injured,2
351,2016,Injured,0
352,2016,Injured,2
353,2016,Injured,2
354,2016,Injured,0
355,2016,Injured,0
356,2016,Injured,4
357,2016,Injured,2
358,2016,Injured,4
359,2016,Injured,4
360,2016,Injured,2
361,2016,Injured,5
362,2016,Injured,2
363,2016,Injured,3
364,2016,Injured,3
365,2016,Injured,0
366,2016,Injured,4
367,2016,Injured,0
368,2016,Injured,6
369,2016,Injured,4
370,2016,Injured,4
371,2016,Injured,5
372,2016,Injured,3
373,2016,Injured,2
374,2016,Injured,0
375,2016,Injured,14
376,2016,Injured,14
377,2016,Injured,0
378,2016,Injured,0
379,2016,Injured,3
380,2016,Injured,5
381,2016,Injured,2
382,2016,Injured,3
383,2016,Injured,3
384,2016,Injured,2
385,2016,Injured,2
